"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 27 19:17:32 GMT 2025","Mon Jan 27 19:17:40 GMT 2025","8031","","Add User To Web Table","","","","Add User To Web Table",""
"passed","Mon Jan 27 19:17:47 GMT 2025","Mon Jan 27 19:17:50 GMT 2025","3674","","Delete User in Web Table","","","","Delete User in Web Table",""
"passed","Mon Jan 27 19:17:40 GMT 2025","Mon Jan 27 19:17:47 GMT 2025","6461","","Edit User In Web Table","","","","Edit User In Web Table",""
