"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 16:57:25 GMT 2025","Tue May 20 16:57:28 GMT 2025","2778","","Add User To Web Table","","","","Add User To Web Table",""
"passed","Tue May 20 16:57:32 GMT 2025","Tue May 20 16:57:35 GMT 2025","3434","","Delete User in Web Table","","","","Delete User in Web Table",""
"failed","Tue May 20 16:57:28 GMT 2025","Tue May 20 16:57:32 GMT 2025","4029","","Edit User In Web Table","","","","Edit User In Web Table",""
