"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 19:24:35 GMT 2025","Mon Jul 28 19:24:39 GMT 2025","4381","","Add User To Web Table","","","","Add User To Web Table",""
"passed","Mon Jul 28 19:24:57 GMT 2025","Mon Jul 28 19:25:01 GMT 2025","3966","","Delete User in Web Table","","","","Delete User in Web Table",""
"failed","Mon Jul 28 19:24:52 GMT 2025","Mon Jul 28 19:24:57 GMT 2025","4648","","Edit User In Web Table","","","","Edit User In Web Table",""
