"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 19:19:25 GMT 2024","Thu Nov 28 19:19:29 GMT 2024","3957","","Delete User in Web Table","","","","Delete User in Web Table",""
"passed","Thu Nov 28 19:19:20 GMT 2024","Thu Nov 28 19:19:25 GMT 2024","4362","","Edit User In Web Table","","","","Edit User In Web Table",""
"passed","Thu Nov 28 19:19:16 GMT 2024","Thu Nov 28 19:19:20 GMT 2024","4228","","Add User To Web Table","","","","Add User To Web Table",""
