"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 26 19:18:40 GMT 2025","Wed Feb 26 19:19:45 GMT 2025","64836","","Add User To Web Table","","","","Add User To Web Table",""
"failed","Wed Feb 26 19:19:45 GMT 2025","Wed Feb 26 19:20:53 GMT 2025","68153","","Edit User In Web Table","","","","Edit User In Web Table",""
"passed","Wed Feb 26 19:20:53 GMT 2025","Wed Feb 26 19:20:58 GMT 2025","4440","","Delete User in Web Table","","","","Delete User in Web Table",""
