"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 19:19:23 GMT 2025","Mon Feb 03 19:19:34 GMT 2025","10932","","Delete User in Web Table","","","","Delete User in Web Table",""
"passed","Mon Feb 03 19:19:12 GMT 2025","Mon Feb 03 19:19:23 GMT 2025","11504","","Edit User In Web Table","","","","Edit User In Web Table",""
"passed","Mon Feb 03 19:19:02 GMT 2025","Mon Feb 03 19:19:12 GMT 2025","9680","","Add User To Web Table","","","","Add User To Web Table",""
